"addresses","lat","long"
"TORNIMÄE, Tallinn",59.4335387,24.7609789
"Trummi, Tallinn",59.3906402,24.6517344
"Tuha, Tallinn",59.4283118,24.7967753
"Tuisu, Tallinn",59.4001129,24.7177738
"Tulbi, Tallinn",59.4327806,24.7204732
"Tulika, Tallinn",59.4281311,24.7201456
"Tungla, Tallinn",59.3682974,24.6592871
"Turu, Tallinn",59.4310033,24.7624097
"Tuukri põik, Tallinn",59.4393515,24.7697106
"Tuukri, Tallinn",59.4396919,24.7706331
"Tuulemaa, Tallinn",59.4506601,24.6914071
"Tuulemäe, Tallinn",59.4261999,24.7945806
"Tuvi, Tallinn",59.429166,24.7408582
"Tõllu, Tallinn",59.4449757,24.7270271
"Tööstuse, Tallinn",59.4505877,24.7223375
"TÖÖSTUSE, Tallinn",59.4505877,24.7223375
"Türnpu, Tallinn",59.4296252,24.7770325
"Tüve, Tallinn",59.4100591,24.7117768
"Udeselja, Tallinn",59.473963,24.8875121
"Uue-Maailma, Tallinn",59.4245215,24.74125
"Uue maailma, Tallinn",59.4245215,24.74125
"Uue Maailma, Tallinn",59.4245215,24.74125
"Uus-Kalamaja, Tallinn",59.4482296,24.7343274
"Uus-Maleva, Tallinn",59.4567812,24.6839725
"Uus-Sadama, Tallinn",59.4413118,24.7710903
"Uus-Tatari, Tallinn",59.42679,24.7514794
"Uus Maleva, Tallinn",59.4567812,24.6839725
"Uus, Tallinn",59.4393313,24.7498691
"Uuslinna, Tallinn",59.4374804,24.8065768
"V. Reimani, Tallinn",59.4362221,24.7621331
"V.Reimani, Tallinn",59.4362221,24.7621331
"Vaablase, Tallinn",59.4116687,24.6958444
"Vabaduse pst, Tallinn",59.374974,24.6734098
"Vabaduse pst., Tallinn",59.374974,24.6734098
"Vabaõhukooli tee, Tallinn",59.4605619,24.8736775
"Vabaõhumuuseumi tee, Tallinn",59.4371354,24.6287873
"Vabriku, Tallinn",59.4433779,24.7289317
"Valdeku, Tallinn",59.3757809,24.7152887
"VALDEKU, Tallinn",59.3757809,24.7152887
"Valge, Tallinn",59.4402691,24.8068648
"Valgevase, Tallinn",59.4437965,24.7338589
"Valguse, Tallinn",59.377555,24.6926036
"Vana-Kalamaja, Tallinn",59.4451632,24.738438
"Vana-Kuuli, Tallinn",59.4451343,24.8268418
"Vana-Lõuna  , Tallinn",59.4225216,24.7455455
